postcode,street_name,town,prov
M12 5FR,Donnison Street,Manchester,
M12 5FY,Clowes Street,Manchester,
M12 5GE,Giles Street,Manchester,
M12 5GF,Stanley Grove,Manchester,
M12 5GH,Pink Bank Lane,Manchester,
M12 5GN,Armitage Avenue,Manchester,
M12 5GX,Calbourne Crescent,Manchester,
M12 5LR,Trowtree Avenue,Manchester,
M12 5LW,Whixhall Avenue,Manchester,
M12 5NG,Boundary Street,Manchester,
M12 5NL,Bennett Street,Manchester,
M12 5NQ,Hyde Road,Manchester,
M12 5NS,Birch Street,Manchester,
M12 5NT,Birch Street,Manchester,
M12 5NX,Great Jones Street,Manchester,
M12 5PD,Kimbolton Close,Manchester,
M12 5PH,Gardner Street,Manchester,
M12 5PS,Hyde Road,Manchester,
M12 5PT,Neenton Square,Manchester,
M12 5QA,East Road,Manchester,
M12 5QD,Parry Road,Manchester,
M12 5QE,Northmoor Road,Manchester,
M12 5QH,Stanley Grove,Manchester,
M12 5QJ,Nutsford Vale,Manchester,
M12 5QY,East Road,Manchester,
M12 5RB,Erneley Close,Manchester,
M12 5RG,Santley Street,Manchester,
M12 5RJ,Elgar Street,Manchester,
M12 5RL,Parkin Street,Manchester,
M12 5RN,Mackenzie Street,Manchester,
M12 5RP,Patey Street,Manchester,
M12 5RQ,Tallis Street,Manchester,
M12 5RS,Northmoor Road,Manchester,
M12 5RT,Northmoor Road,Manchester,
M12 5RU,Northmoor Road,Manchester,
M12 5RW,Sherrington Street,Manchester,
M12 5RY,Totland Close,Manchester,
M12 5SE,Stovell Avenue,Manchester,
M12 5SG,Longden Road,Manchester,
M12 5SH,Leedale Street,Manchester,
M12 5SJ,Longden Road,Manchester,
M12 5SN,Hannah Street,Manchester,
M12 5SQ,Stovell Avenue,Manchester,
M12 5ST,Hemmons Road,Manchester,
M12 5SU,Ollier Avenue,Manchester,
M12 5SW,Ollier Avenue,Manchester,
M12 5SX,Gatling Avenue,Manchester,
M12 5SY,Stovell Avenue,Manchester,
M12 5SZ,Bickerdike Avenue,Manchester,
M12 5TA,Hemmons Road,Manchester,
M12 5TB,Innes Street,Manchester,
M12 5TN,Sutcliffe Avenue,Manchester,
M12 5TW,Hemmons Road,Manchester,
M12 5WF,Gorton Lane,Manchester,
M12 6AL,Stockport Road,Manchester,
M12 6AR,Palmerston Street,Manchester,
M12 6AW,Apsley Grove,Manchester,
M12 6BF,"Rondin Road, Ashton Old Road",Manchester,
M12 6BG,Dolphin Street,Manchester,
M12 6BH,Hyde Road,Manchester,
M12 6BQ,Hyde Road,Manchester,
M12 6BT,Harkness Street,Manchester,
M12 6BW,Hyde Road,Manchester,
M12 6BZ,Higher Ardwick,Manchester,
M12 6DA,Higher Ardwick,Manchester,
M12 6DB,Higher Ardwick,Manchester,
M12 6DP,Temperance Street,Manchester,
M12 6DX,North Western Street,Manchester,
M12 6DY,North Western Street,Manchester,
M12 6EL,Fairfield Street,Manchester,
M12 6ER,Ardwick Green North,Manchester,
M12 6EY,Cotter Street,Manchester,
M12 6FA,Dark Lane,Manchester,
M12 6FJ,Fairfield Street,Manchester,
M12 6FS,Durling Street,Manchester,
M12 6FX,Ardwick Green North,Manchester,
M12 6FZ,Ardwick Green North,Manchester,
M12 6HE,Manor Street,Manchester,
M12 6HG,Hoyle Street,Manchester,
M12 6HQ,Cotter Street,Manchester,
M12 6HR,Temperance Street,Manchester,
M12 6HS,Charlton Place,Manchester,
M12 6HT,Paddock Street,Manchester,
M12 6HU,Temperance Street,Manchester,
M12 6HY,Nether Street,Manchester,
M12 6JH,Devonshire Street,Manchester,
M12 6JL,North Western Street,Manchester,
M12 6JQ,Devonshire Street North,Manchester,
M12 6JR,Devonshire Street North,Manchester,
M12 6JX,Pittbrook Street,Manchester,
M12 6LA,Hooper Street,Manchester,
M12 6LB,Midland Street,Manchester,
M12 6LL,Rondin Road,Manchester,
M12 6LP,Ashton Old Road,Manchester,
